Date,District,Header,Story,Source,Attack,Propaganda,Structural Discrimination,Material Damage,Reported status,year,type of incident,date_form
2018-02-05,Pankow,"""Demo für Alle""-Aufkleber im Prenzlauer Berg","Im Ortsteil Prenzlauer Berg wurde in der Stargarder Straße Aufkleber des rechten Bündnisses ""Demo für Alle"" entdeckt und entfernt. Das Bündnis ist aus Protesten gegen den Sexualkundeunterricht in Baden-Württemberg entstanden und setzt sich aus christlich-fundamentalistischen Strömungen sowie rechten Gruppierungen zusammen. Dieses ist für seine LGBTIQ*-feindlichen Positionen bekannt.",EAG,,,,,,2018,,2018 Feb 05
2018-02-04,Neukölln,Homophober Angriff am Hermannplatz,"Gegen 0.30 Uhr wurde ein 28-Jähriger aus einer Männergruppe heraus angegriffen. Aus LGBTIQ-feindlicher Motivation wurde der Betroffene gegen den Kopf geschlagen, bedrängt und geschubst. Als dem Angegriffenen die Flucht gelang, verfolgte ihn einer der Männer.
Zivilpolizisten bemerkten die Situation und nahmen den Angreifer fest.","Polizei Berlin, Polizeimeldung Nr. 0291",physical,,,,,2018,physical attack,2018 Feb 04
2018-01-30,Friedrichshain-Kreuzberg,"Mann in der Skalitzer Straße beleidigt, geschlagen und gewürgt","Gegen 5.25 Uhr wird ein 30-jähriger Mann in der Skalitzer Straße von einem unbekannten Mann, den er in einer Bar kennen gelernt hat, aus LGBTIQ-feindlicher Motivation beleidigt, geschlagen, getreten und gewürgt. 
update vom 06.06.2018:
Mit der Veröffentlichung von Bildern aus einer Überwachungskamera sucht die Polizei Berlin nach einem mutmaßlichen Schläger. Der Unbekannte steht im Verdacht, am 30. Januar 2018 in den frühen Morgenstunden einen 30-Jährigen in Kreuzberg homophob beleidigt und körperlich angegriffen zu haben. Den Aussagen des Opfers zufolge, verließ er gegen 5 Uhr gemeinsam mit dem Unbekannten eine Bar in der Oranienstraße. Anschließend führte der Mann sein späteres Opfer über ein Brachgelände in der Skalitzer Straße. Dort soll er ihn unvermittelt mit Fäusten gegen den Kopf geschlagen und gegen die Beine getreten haben. Während des Angriffs beleidigte er ihn homophob. Danach gingen beide gemeinsam in Richtung U-Bahnhof Kottbusser Tor, wo der 30-Jährige leicht verletzt gegen 5.44 Uhr mit der U-Bahn davonfuhr und der Tatverdächtige auf dem Bahnsteig zurückblieb. Der Unbekannte ist circa 38 Jahre alt und etwa 180 cm groß. Er hat dunkle Haare und trug am Tattag einen Vollbart.
Polizeimitteilung Nr. 1248 https://www.berlin.de/polizei/polizeimeldungen/pressemitteilung.708587.php",ReachOut Berlin,physical,,,,,2018,physical attack,2018 Jan 30
2018-01-27,Neukölln,Aus LGBTIQ-feindlicher Motivation in Nordneukölln bespuckt und gestoßen,"Gegen 16.30 Uhr wurde eine 21-jährige Frau, die mit ihrer Freundin in der Flughafenstraße unterwegs war, aus LGBTIQ-feindlicher Motivation von drei unbekannten Männern bespuckt und gestoßen.","ReachOut Berlin, Polizei Berlin, 16.10.2018",,,,,,2018,,2018 Jan 27
2018-01-20,Friedrichshain-Kreuzberg,Frauen in der Boxhagener Straße beleidigt und geschlagen,Eine 27-jährige und eine 29-jährige Frau werden gegen 2.00 Uhr in der Boxhagener Straße von einem 33- und einem 34-jährigen Mann  aus LGBTIQ-feindlicher Motivation beleidigt und geschlagen.,ReachOut Berlin,physical,,,,,2018,physical attack,2018 Jan 20
2018-01-18,Mitte,LGBTIQ*-feindlicher Angriff und Diebstahl,"In der Nacht zum 18.1.2018 wurde ein Mann in Gesundbrunnen LGBTIQ*-feindlich beleidigt, geschlagen und anschließend ausgeraubt. Aussagen zufolge war der 26-Jährige an der Prinzenallee Ecke Bellermannstraße unterwegs, als er von bis zu fünf unbekannten jungen Männern zunächst homophob beleidigt wurde. Einer der Beleidiger hat ihn dann zu Boden geschlagen. Dabei aus seiner Jacke herausgefallene Zigaretten und Geld haben die Angreifer aufgehoben und gestohlen. Als der 26-Jährige gerade wieder aufstand, ist ein weiterer Mann aus der Gruppe auf ihn zugekommen, hat ihn erst beruhigend angesprochen und dann ebenfalls geschlagen. Das Opfer entfernte sich im Anschluss in die Gotenburger Straße und alarmierte die Polizei. Die Unbekannten flüchteten daraufhin in unbekannte Richtung. Der Polizeiliche Staatsschutz beim Landeskriminalamt ermittelt. 
Quelle: Polizeimeldung Nr. 0150 vom 18.01.2018",Polizei Berlin,physical,,,,,2018,physical attack,2018 Jan 18
2018-01-10,Reinickendorf,Homofeindliche Beleidigung einer Frau in Reinickendorf-West,In der Nacht zum 10. Januar wurde eine 51-jährige Frau in der Klixstraße in Reinickendorf-West aus einem stehenden Auto heraus von einem 36-jährigen Mann homofeindlich beleidigt und bedroht. Der Polizeiliche Staatsschutz ermittelt.,Polizeimeldung Nr. 0074 vom 10. Januar 2018,verbal,,,,,2018,verbal attack,2018 Jan 10
2018-01-09,Tempelhof-Schöneberg,Rechte Propaganda im Rathaus Schöneberg,"Am 09.01.18 wurden vor dem Büro der Integrationsbeauftragten im Rathaus Schöneberg zahlreiche rechte Schmierereien und Aufkleber vorgefunden. Darüber hinaus wurden vor dem Büro der Beuaftragten für queere Lebensweisen und gegen Rechtsextremismus alle Informationsmaterialien zum Thema Queer entwendet.
Es wurde eine Strafanzeige gestellt.",Register Tempelhof-Schöneberg,,,,,,2018,,2018 Jan 09
2019-12-24,Tempelhof-Schöneberg,"Aufkleber gegen ""Gender Mainstreaming in Tempelhof","an einem Müllbehälter an der Ecke Neue Straße / Ringbahnstraße im Ortsteil Tempelhof wird ein Aufkleber entdeckt, der sich gegen ""Gender Mainstreaming"" richtet. Der Aufkleber wirbt zugleich für einen extrem rechten Online-Versand aus Halle an der Saale.",Register Tempelhof-Schöneberg,,,,,,2019,,2019 Dec 24
2019-12-21,Lichtenberg,LGBTIQ*-feindlicher Angriff in Alt-Hohenschönhausen,"Eine 18- und eine 19-jährige Frau wurden gegen 3.45 Uhr an der Straßenbahnhaltestelle Hohenschönhauser Straße Ecke Weißenseer Weg von einem Unbekannten, der in Begleitung von zwei Männern ist, aus LGBTIQ-feindlicher Motivation beleidigt. In der Straßenbahn wurde die 19-Jährige von dem unbekannten Täter zu Boden gestoßen, ihr wurde mehrmals ins Gesicht getreten. Die 18-Jährige wurde ins Gesicht geschlagen. Beide Frauen wurden verletzt.",Polizei Berlin,physical,,,,,2019,physical attack,2019 Dec 21
2019-12-21,Lichtenberg,LGBTIQ*-feindlicher Angriff,Gegen 4.00 Uhr wurden zwei Frauen im Alter von 28 und 29 Jahren an einer Tramhaltestelle in der Altenhofer Straße von einem unbekannten Täter aus LGBTIQ-feindlicher Motivation beleidigt und in der Tram angegriffen.,"ReachOut, Polizei Berlin, 07.02.2020",physical,,,,,2019,physical attack,2019 Dec 21
2019-12-18,Reinickendorf,Erneut homofeindliche Schmiererei in Wittenau,"An einem Stromkasten gegenüber der Rödernalle 118 in Wittenau wurden erneut homofeindliche Schmierereien bemerkt, die von Unbekannten auf zwei Stromkästen angebracht worden waren. In weißer Farbe auf blauem Grund stand dort das Wort ""Homos"". Wie bereits im April und November waren die Schmierereien offenbar angebracht worden, um Hertha-Anhänger_innen zu beleidigen.",Links-Fraktion Reinickendorf,verbal,,,,,2019,verbal attack,2019 Dec 18
2019-12-16,Tempelhof-Schöneberg,Transfeindlicher Angriff,"Gegen 5.00 Uhr wird eine 38-jährige Transperson, die als Sexarbeiterin in der Frobenstraße arbeitet, von unbekannten Täter_innen aus LGBTIQ-feindlicher Motivation beleidigt und bespuckt.","ReachOut, Polizei Berlin, 07.02.2020",physical,,,,,2019,physical attack,2019 Dec 16
2019-12-13,Reinickendorf,Rassistische AfD-Rede in Reinickendorf,"Die AfD Reinickendorf veranstaltete eine Weihnachtsfeier. Dort hielt Gottfried Curio, der für die AfD im Bundestag sitzt, eine rassistische Rede. Er äußerte sich durchgehend abwertend über Migrant_innen und machte sie pauschal für eine Vielzahl gesellschaftlicher Probleme wie Bildungserfolge, Arbeitslosigkeit  und hohe Steuern verantwortlich. Menschen mit Migrationsgeschichte definierte er als nicht-deutsch. Er behauptete, dass vor allem Familien mit Migrationsgeschichte die Sozialsysteme belasteten und wegen der hohen Kinderzahl und vererbbaren Bildungsferne zukünftig noch stärker belasten würden.
Im Zusammenhang mit der Verhinderung von Abschiebungen durch zivilgesellschaftliche Initiativen, die er als „Anti-Abschiebeindustrie“ zog er das Fazit: „Wer den Rechtsstaat nicht durchsetzt, der macht ihn zum Unrechtsstaat“. Damit stellte er das aktuelle Gesellschafssystem auf eine Stufe mit Diktaturen. Er vertrat außerdem den Verschwörungsmythos, dass die politische Elite Migrant_innen in Deutschland ansiedeln und die deutsche Kultur zerstören wolle und dass die Medien die negativen Konsequenzen der Migration vertuschen würden. Als besondere Gefahr stellte er den Islam dar. Gewalttaten würden häufig „aus islamischem Ehr- und Religionsverständnis“ geschehen, was jedoch als medial als „Beziehungstaten entpolitisiert“ werde, „um die Zuwanderungspolitik bedingungslos fortsetzten zu können“. Darüber hinaus äußerte er sich transfeindlich.",Eigene Recherchen des Register Reinickendorf,,,,,,2019,,2019 Dec 13
2019-12-13,Spandau, LGBTIQ*-feindliche Bemerkungen unter Jugendlichen,"Ein Jugendlicher äußerte über einen anderen Jugendlichen mit gefärbten Haaren: ""Bist du schwul, oder was?"" und fuhr fort, mit seinen Freunden über ihn zu lästern: ""He, guck mal, wie der aussieht, er ist schwul!""",Bürger_innen-Meldung,,,,,,2019,,2019 Dec 13
2019-12-12,Neukölln,LGBTIQ*-feindlicher Angriff in Neukölln,"Zwei Männer im Alter von 26 und 28 Jahren werden am Abend in der Sonnenallee von drei Jugendlichen aus LGBTIQ-feindlicher Motivation beleidigt. Der 28-Jährige wird von hinten gestoßen. Bevor sie beraubt werden, rufen sie die Polizei und die Täter*innen flüchten. In der Weserstraße treffen die beiden Männer erneut auf die Angreifer*innen und werden von ihnen geschlagen, getreten und verletzt.",ReachOut Berlin,physical,,,,,2019,physical attack,2019 Dec 12
2019-12-04,Friedrichshain-Kreuzberg,LGBTIQ*-Feindlicher Angriff in der Urbanstraße,"Ein 18-Jähriger wird gegen 21.00 Uhr in der Urbanstraße von vier Familienmitgliedern, darunter zwei Frauen im Alter von 28 und 54 Jahren und zwei Männer 30 und 51 Jahre alt, aus LGBTIQ*-feindlicher Motivation der Kontakt zu seinem Freund verboten und er wird in der Wohnung eingeschlossen.",ReachOut Berlin,physical,,,,,2019,physical attack,2019 Dec 04
2019-11-30,Friedrichshain-Kreuzberg,Homophobe Beleidigung von zwei Gästen bei einem Angriff auf eine Gastwirtin,"Gestern Nachmittag rief eine Wirtin die Polizei zu einer Kneipe in Kreuzberg. Die 48-Jährige zeigte an, dass ein stark alkoholisierter 50-jähriger Gast in dem Lokal in der Prinzenstraße gegen 16.10 Uhr mit einem Hocker und einer abgebrochenen Flasche auf sie losgegangen sei und zwei ebenfalls anwesende Gäste homophob beleidigt haben soll. Eine Atemalkoholkontrolle bei dem 50-Jährigen ergab einen Wert von etwa drei Promille. Nach den polizeilichen Maßnahmen wurde er vor Ort entlassen. Verletzt wurde niemand.",Polizeimeldung Nr. 2840,physical,,,,,2019,physical attack,2019 Nov 30
2019-11-30,Charlottenburg-Wilmersdorf,Rassistische Facebook-Beiträge der NPD Charlottenburg-Wilmersdorf,"Im November 2019 nutzte die NPD Charlottenburg-Wilmersdorf ihre Facebook-Seite wöchentlich dafür, rassistische Stereotype über Migrant*innen in Verbindung mit Kriminalität und (Gewalt-) Verbrechen zu verbreiten. Zudem wurde Engagement gegen den Klimawandel als ""Klimaspinner-Aktivisten"" diffamiert und eine Kampagne gegen ""Gender-Mainstreaming"" beworben.",Register CW via Facebook,,,,,,2019,,2019 Nov 30
2019-11-28,Friedrichshain-Kreuzberg,Homophobe Pöbelei am Kottbusser Tor,"Gegen 20 Uhr im U-Bahnhof Kottbusser Tor  wurde beobachtet, wie eine Frau zu einer Passantin: ""Transe"" artikulierte. Als diese sie zurechtweist, ruft der Begleiter der Frau: ""Du Hurensohn"".",Bürger_Innen-Meldung,,,,,,2019,,2019 Nov 28
2019-11-28,Spandau,LGBTIQ*-Feindlichkeit unter Jugendlichen,"Aus einer Schüler_innengruppe wurde einem vorbeigehenden Jugendlichen ""Du Schwuler!"" zugerufen. Dann lachten alle.",Bürger*innen-Meldung,,,,,,2019,,2019 Nov 28
2019-11-28,Mitte,LGBTIQ-feindlicher Angriff im S-Bahnhof Alexanderplatz,Gegen 0.55 Uhr wird eine 50-jährige Mitarbeiterin eines Schnellrestaurants im S-Bahnhof Alexanderplatz von einem 50-jährigen Gast aus LGBTIQ-feindlicher Motivation beleidigt und geschlagen.,ReachOut,physical,,,,,2019,physical attack,2019 Nov 28
2019-11-27,Mitte,LGBTIQ-feindlicher Angriff auf dem U-Bahnhof Westhafen,"Gegen 18.35 Uhr werden drei Männer im Alter von 23, 51 und von 57 Jahren in der U-Bahn von einem unbekannten Mann aus LGBTIQ-feindlicher Motivation beleidigt. Auf dem U-Bahnhof Westhafen wird einer der Männer von dem Unbekannten ins Gesicht geschlagen.",Registerstelle Mitte,physical,,,,,2019,physical attack,2019 Nov 27
2019-11-25,Reinickendorf,Homofeindliche Schmierereien in Wittenau,"An zwei Stromkästen am Nordgraben Ecke Schorfheidestraße in Wittenau wurden homofeindliche Schmierereien bemerkt, die von Unbekannten angebracht worden waren. In weißer Farbe auf blauem Grund stand dort ""Homos"". Wie bereits im April waren die Schmierereien offenbar angebracht worden, um Hertha-Anhänger_innen zu beleidigen.",Fraktion Die LINKE Reinickendorf,verbal,,,,,2019,verbal attack,2019 Nov 25
2019-11-21,Spandau,LGBTIQ*-feindliche Bemerkungen auf dem Schulhof,"In einer Gruppe mehrerer Schüler_innen äußerte sich eine Schülerin positiv über eine Mitschülerin. Daraufhin meinte eine zweite Schülerin: ""Iiih, bist du lesbisch oder was?"" und machte im Tonfall deutlich, dass lesbisch sein etwas Schlimmes und Lächerliches ist. Alle anwesenden Schüler_innen lachten die erste Schülerin aus.",Register Mitte,,,,,,2019,,2019 Nov 21
2019-11-17,Mitte,Homophobe Beleidigung in Mitte,Ein Mann wurde in Mitte von einer Nachbarin homophob beleidigt.,Opferhilfe e.V.,verbal,,,,,2019,verbal attack,2019 Nov 17
2019-11-15,Tempelhof-Schöneberg,Antisemitische Beschimpfungen bei Männerfussballspiel in Marienfelde,"Mutmaßlich Fans des Landesliga-Vereins FC Stern Marienfelde 1912 haben Anhänger*innen des Oberligisten Tennis Borussia Berlin antisemitisch beleidigt. Während eines Spiels beider Teams kam es im Stadion zu antisemitischen Beschimpfungen durch Personen, die dem FC Stern sowie dem Bundesligisten Hertha BSC zugeordnet wurden. Beide Vereine waren aus Anlass eines Achtelfinalspiels des Berliner Landespokals im Männerfussball auf dem Sportplatz an der Dorfkirche in Marienfelde aufeinandergetroffen. Die Anhänger*innen von TeBe sind für ihr zivilgesellschaftliches Engagement gegen Rassismus, Antisemitismus und Homophobie bekannt.","Polizei Berlin (Meldung Nr. 2727), Presseberichterstattung",verbal,,,,,2019,verbal attack,2019 Nov 15
2019-11-15,Tempelhof-Schöneberg,Angriffe auf Fans nach Fußballspiel in Marienfelde,"Nach einem Pokalspiel des Landesliga-Vereins FC Stern Marienfelde 1912 gegen den Oberligisten Tennis Borussia Berlin kam es zu Angriffen auf fußballfans der Gastmannschaft. Auf dem Heimweg wurden die TeBe-Fans zudem angegriffen. Dabei wurden zumindest zwei männliche Personen leicht verletzt. Die Anhänger*innen von TeBe sind für ihr zivilgesellschaftliches Engagement gegen Rassismus, Antisemitismus und Homophobie bekannt.","Polizei Berlin (Meldung Nr. 2727), Presseberichterstattung",physical,,,,,2019,physical attack,2019 Nov 15
2019-11-13,Mitte,Homofeindliche Beleidigung in Moabit,"Ein Fußgänger war in der Perleberger Straße in Moabit unterwegs, als ein vorbeigehender Unbekannter vor ihm auf den Boden spuckte und ihn homofeindlich beschimpfte.",Register Friedrichshain-Kreuzberg,verbal,,,,,2019,verbal attack,2019 Nov 13
2019-11-12,Mitte,LGBTIQ*-feindliche Schmierereien in Mitte,"Auf BVG-Plakaten, die Vielfalt in den Geschlechterverhältnissen abbilden, an einer U-Bahn-Baustelle Unter den Linden in Mitte sind LGBTIQ*-feindliche Schmierereien entdeckt worden.",Registerstelle Mitte,,,,,,2019,,2019 Nov 12
2019-11-10,Mitte,Erneute Sachbeschädigung am Denkmal für die im NS verfolgten Homosexuellen,"Das Denkmal für die im Nationalsozialismus verfolgten Homosexuellen in der Ebertstraße Ecke Großer Tiergarten schräg gegenüber dem Holocaust-Mahnmal wurde erneut beschädigt, indem Unbekannte das Sichtfenster des Monuments mit einem Schriftzug beschmierten. 
Dies ist schon die siebte homofeindliche Beschädigung an diesem Denkmal in diesem Jahr. Zuletzt war es erst am 08.09. beschädigt worden, davor schon am 19.08., am 04.08., am 30.06.2019, am 09.06.2019, am 27.01.2019 und im letzten Jahr am 6.10. und am 1.12. 2018.","Polizeimeldung vom 11.11.2019, Queer.de vom 11.11.2019",,,,yes,,2019,vandalism,2019 Nov 10
2019-11-04,Charlottenburg-Wilmersdorf,Erneut homophobe Aufkleber am S-Bhf Westend,"Am 04. November 2019 wurden am S-Bahnhof Westend in Charlottenburg an der Wand einer Rolltreppe erneut zwei selbstbeschriebene Aufkleber mit der Aufschrift ""Schwul=krank"" entdeckt und teilweise überklebt. Bereits überklebte Aufkleber wurden wieder sichtbar gemacht.",Register CW,,,,,,2019,,2019 Nov 04
2019-11-03,Lichtenberg,Neonazi-Aufkleber in Rummelsburg,"Im Umfeld des S-Bhf. Betriebshof Rummelsburg wurden mehrere Aufkleber eines Neonaziversands gefunden, die LGBTIQ*-feindliche, rassistische und gegen den politischen Gegner gerichtete Motive enthielten. Sie wurden entfernt.",Lichtenberger Register,,,,,,2019,,2019 Nov 03
2019-11-02,Treptow-Köpenick,Homosexuellenfeindliches Banner bei Union Spiel,"Bei einem Fußballspiel in der Alten Försterei zeigten Union-Fan das homosexuellenfeindliche Banner ""16 Auto - 12 Herthaner, der Schwanz im Arsch wird nie zu Rückgrat!"". Der Verein sowie viele andere Fans distanzierten sich später von der Aktion.",Register Treptow-Köpenick,,,,,,2019,,2019 Nov 02
2019-10-31,Reinickendorf,LGBTIQ*-feindlicher Angriff in Wittenau,"Gegen 23:45 Uhr wurde ein 29-jähriger Mann, als er die U-Bahn an der Station Karl-Bonhoeffer-Nervenklinik in Wittenau verließ, aus einer Gruppe von fünf Personen heraus aus LGBTIQ-feindlicher Motivation von einem Unbekannten in den Rücken getreten.",ReachOut,physical,,,,,2019,physical attack,2019 Oct 31
2019-10-30,Mitte,LGBTIQ*-Feindliche Parole am U-Bahnhof Jannowitzbrücke,"Am U-Bahnhof Jannowitzbrücke wurde der LGBTIQ*-feindliche Schriftzug ""Schwule sterben aus"" entdeckt.",Registerstelle Mitte,,,,,,2019,,2019 Oct 30
2019-10-28,Mitte,LGBTIQ*-Feindliche Parole an Ringbahn,"An einer S-Bahn am S-Bahnhof Westhafen wurde der LGBTIQ*-Feindliche Schriftzug ""Schwule sterben aus"" entdeckt. Die Parole wurde im Verlauf der Jahres 2019 an mehr als 40 Stellen in Berlin dokumentiert.",Berliner Register,,,,,,2019,,2019 Oct 28
2019-10-27,Mitte,Homofeindliche Propaganda am S-Bahnhof Jannowitzbrücke,Auf den Glasfenstern am S-Bahnhof Jannowitzbrücke in Richtung Ostbahnhof wurde der homofeindliche gesprühte Spruch „Schwule sterben aus“ entdeckt.,Registerstelle Berlin-Mitte,,,,,,2019,,2019 Oct 27
2019-10-27,Friedrichshain-Kreuzberg,Cottbusser Fußball-Fans pöbeln und bleidigen in der S-Bahn Mitreisende,"Gegen 10:35 Uhr bemerkte ein Zeuge eine Gruppe Fußballfans aus Cottbus, die in einer S-Bahn von Ostkreuz nach Charlottenburg fährt und sich lautstark rassistisch, NS-verharmlosend, LGBTIQ*-Feindlich und sozialchauvinistisch äußerte. Sie sangen beispielweise ""Zecken, Zigeuner und Juden, Babelsberg 03"" oder ""Arbeit macht frei, Babelsberg 03"". Ab dem Bahnhof Alexanderplatz beschimpfte die Gruppe Frauen, die ein Kopftuch tragen als ""Schlampen"" und ""Fotzen"" und forderte sie auf, ihr Tuch abzulegen. An der Haltestelle Tiergarten wurden schwarze Menschen mit dem N-Wort beschimpft und als Drogendealer bezeichnet. Über einen Wohnungslosen Mann, der durch die Bahn läuft, machte sich die Gruppe lustig, in dem sie ihn nachmacht. Personen, die der Gruppe widersprachen oder sich über die verbalen Attacken beschwerten, werde mit Hitlergruß und der sexistischen Beschimpfung ""Fotze"" oder ""Schlampe"" entgegnet. Die Fußballfans waren eindeutig als Fans des Vereins Energie Cottbus zu erkennen.",ReachOut Berlin,physical,,,,,2019,physical attack,2019 Oct 27
2019-10-26,Mitte,Homofeindlicher Angriff am Alexanderplatz,"Gegen 00:15 war ein männliches Pärchen mit einer Freundin im U-Bahnhof am Alexanderplatz unterwegs, als sie auf dem Weg zur U8 von einem Unbekannten homofeindlich beleidigt wurden. Daraufhin ging die Freundin, die mit den beiden unterwegs war, auf auf den Unbekannten zu, um ihn zur Rede zu stellen. Der Mann reagierte daraufhin mit Gewalt, in dem er sie am Fuß packte und sie zu treten versuchte. Nur dadurch, dass ein Verkäufer eines Backshops, vor dem sich der Vorfall abspielte, dazwischen ging und den Täter festhielt, konnten weitere Gewalttaten verhindert werden. Der Mann lies sich kaum von dem Verkäufer zurück halten und beschimpfte und bedrohte die Frau weiter über mehrere Minuten hinweg, wobei er ihr auch mit sexualisierter Gewalt drohte.",Registerstelle Berlin-Mitte,physical,,,,,2019,physical attack,2019 Oct 26
2019-10-26,Mitte,Homofeindliche Angriffe in Mitte,"Ein 18-Jähriger, der mit einer Gruppe homosexueller junger Männer unterwegs war, wurde gegen 18.30 Uhr in einem Einkaufzentrum am Leipziger Platz von einem Mann, der zu einer anderen Gruppe gehörte, angerempelt und anschließend von dem selben Mann homofeindlich beleidigt. Ein 17-jähriger Begleiter des unbekannten Täters, spuckte dann einem 24-jährigen Bekannten des Angerempelten ins Gesicht. Anschließend flüchtete die Gruppe um die Täter in unterschiedliche Richtungen. Ein 20-Jähriger aus der Gruppe der schwulen jungen Männer daraufhin die Verfolgung des 17-Jährigen auf, der mit zwei Begleitern in die Wilhelmstraße lief. Dort schlug der 17-Jährige dem 20-Jährigen dann mit der Faust ins Gesicht. Anschließend stieg der jugendliche Schläger in einen BVG-Bus. Der Geschlagene machte den Busfahrer auf den Tatverdächtigen aufmerksam, sodass der Bus stand und kurz darauf alarmierte Polizeikräfte den Jugendlichen vorläufig festnehmen konnten.","Polizeimeldung vom 27.10.2019, Tagesspiegel vom 27.10.2019, Queer.de vom 27.10.2019",physical,,,,,2019,physical attack,2019 Oct 26
2019-10-26,Pankow,LGBTIQ*-feindliche und rassistische Beleidigung und Angriff in Niederschönhausen,Im Ortsteil Niederschönhausen wird kurz vor 21:00 Uhr ein 42-jähriger Mann in der Dietzgenstraße aus rassistischer und LGBTIQ-feindlicher Motivation von einem gleichaltrigen Mann beleidigt und geschlagen.,ReachOut,physical,,,,,2019,physical attack,2019 Oct 26
2019-10-21,Neukölln,LGBTIQ*-feindlicher Angriff in Rudow,Ein 43 jähriger Mann wird gegen 14.30 Uhr im Narkauer Weg von einem 20-jährigen Mann aus LGBTIQ-feindlicher Motivation beleidigt. Der 20-jährige Täter hetzt seinen Hund auf den 43-Jährigen.,ReachOut Berlin,physical,,,,,2019,physical attack,2019 Oct 21
2019-10-20,Lichtenberg,NPD-Aufkleber in der Landsberger Allee,"In der Landsberger Allee wurden Aufkleber der NPD-Jugendorganisation JN gefunden, die transphobe Sprüche enthielten. Sie agitierten „gegen Genderwahnsinn“.",Lichtenberger Register,,,,,,2019,,2019 Oct 20
2019-10-19,Lichtenberg,Homophober Angriff in Lichtenberg,"Ein 24-jähriger Mann wurde gegen 19:30 beim Einsteigen in die U-Bahn am Bahnhof Frankfurter Allee homophob beleidigt. Bei Mann forderte ihn auf, den Zug zu verlassen und drohte damit, ein Messer zu ziehen. Der 24-Jährige verließ daraufhin die  Bahn wieder.",Polizei Berlin,physical,,,,,2019,physical attack,2019 Oct 19
2019-10-18,Tempelhof-Schöneberg,LGBTIQ*-feindlicher Angriff in Schöneberg,Am 18. Oktober 2019 gegen 03.20 Uhr wurde ein 43-jähriger Mann in einem Lokal in der Eisenacher Straße von einem Mann aus LGBTIQ*-feindlicher Motivation unvermittelt ins Gesicht geschlagen.,"Polizei Berlin, 18.10.2019",physical,,,,,2019,physical attack,2019 Oct 18
2019-10-16,Tempelhof-Schöneberg,Homophober Angriff auf zwei Männer in Tiergarten,"Zwei Männer wurden in Schöneberg-Nord homophob beleidigt und körperlich angegriffen. Die beiden 23- und 41-Jährigen waren gegen 3.25 Uhr in der Kurfürstenstraße unterwegs, als sie von zwei Unbekannten homophob beleidigt wurden. Als sie darauf nicht reagierten, wurden sie von den beiden Täter mit Schlägen und Tritten angegriffen, die anschließend in unbekannte Richtung flohen. Der 23-Jährige erlitt unter anderem einen Nasenbeinbruch. Beide Verletzte mussten zur Behandlung in ein Krankenhaus. Der Polizeiliche Staatsschutz beim Landeskriminalamt hat die Ermittlungen übernommen."," Polizeimeldung vom 16.10.2019, Queer.de vom 16.10.2019",physical,,,,,2019,physical attack,2019 Oct 16
2019-10-14,Mitte,Lesbenfeindliche Beleidigung und Bedrohung in Mitte,"Zwei Frauen wurden in Mitte homophob beleidigt und verfolgt. Eine 24-Jährige lief mit ihrer 25-jährigen Lebensgefährtin Arm in Arm die Alte Schönhauser Straße entlang, als sie von drei Jugendlichen, die unmittelbar zuvor mehrere E-Scooter umgetreten hatten, lesbenfeindlich beleidigt und anschließend verfolgt wurden. Erst als die 25-Jährige ihr Handy aus der Tasche holte, um die Polizei zu alarmieren, entfernten sich die drei Personen in Richtung Alexanderplatz. Die beiden Frauen fuhren mit den alarmierten Polizisten zum Alexanderplatz, wo sie die drei zwischen 15 und 18 Jahre alten Täter wiedererkannten, gegen die nun der Staatsschutz beim Landeskriminalamt wegen Beleidigung und Sachbeschädigung ermittelt.","Polizeimeldung vom 15.10.2019, Queer.de vom 15.10.2019",verbal,,,,,2019,verbal attack,2019 Oct 14
2019-10-14,Charlottenburg-Wilmersdorf,Diffamierender Beitrag der AfD-Charlottenburg-Wilmersdorf,"Die AfD CW veröffentlicht im Oktober ihren Beitrag in dem Bezirksmagazin „Gazette“ zu dem Thema ""Gendersprech- vergewaltigt das Bezirksamt unsere Sprache?"". In diesem Artikel wird unter anderem behauptet, dass „fanatische Minderheiten“ versuchen würden, ein „politisch-korrektes Gesinnungsdiktat“ durchzusetzen und gefordert, dass das Bezirksamt bei der „sektiererischen Vergewaltigung der Sprache nicht zum Mittäter werden“ dürfe. Dabei werden gezielt Ausdrücke aus dem Bereich der sexualisierten Gewalt genutzt. Dies folgt einer antifeministischen Argumentation, die eine Bedrohung durch die Sprach „Ideologie“ beschwört und sich jeglichen emanzipatorischen Errungenschaften verwehrt.",Register CW,verbal,,,,,2019,verbal attack,2019 Oct 14
